EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
1.08B,3.07,687M,-43.60%,3.30%,7.23%,151.66%,5.52B,2.48,1.67,3.65B,16.35,1.65,2.77B,747.84,997.37M,1.92,2.78%,3.62B,0.30%,103.46%,"NetApp, Inc. (NTAP)",1.2B,16.64%,63.16%,12.44%,24.83,222.66M,10.49M,223.38M,5.38,7.95%,4.70%
4.7B,6.08,2.76B,-7.60%,21.50%,7.82%,29.62%,25B,N/A,24.98,8.21B,18.53,1.25,18.51B,167.29,13.21B,N/A,N/A,9.72B,1.55%,81.92%,"Netflix, Inc. (NFLX)",2.43B,18.34%,0.00%,11.05%,56.69,437.06M,7.3M,441.8M,1.06,1.68%,1.65%
1.27B,-0.25,-118.9M,N/A,5.10%,3.57%,-3.00%,9.32B,3.77,8.78,858M,2.02,1.51,6.51B,173.52,1.67B,0.92,3.53%,3.24B,0.80%,89.21%,Newell Brands Inc. (NWL),1.44B,9.43%,N/A,-1.11%,21.99,420.67M,9.87M,424.3M,3.26,3.47%,2.33%
5.26B,3.18,2.4B,-61.50%,16.80%,4.38%,10.48%,11.08B,0.96,28.18,5.14B,6.4,2.83,6.79B,28.73,3.24B,1.6,2.74%,4.38B,0.28%,84.11%,Newmont Corporation (NEM),4.4B,25.73%,26.71%,23.19%,13.73,800.59M,8.7M,803.36M,1.48,1.46%,1.08%
978M,-1.46,-862M,171.80%,-2.60%,2.22%,-11.76%,8.72B,1.49,13.77,1.56B,2.64,1.26,2.58B,28.42,1.06B,N/A,N/A,4.08B,0.59%,97.18%,News Corporation (NWSA),1.07B,6.40%,N/A,-9.89%,14.80,509.37M,6.68M,391.09M,2.79,1.72%,1.13%
978M,-1.46,-862M,171.80%,-2.60%,2.22%,-11.76%,8.72B,1.46,13.77,1.56B,2.64,1.26,2.58B,28.42,1.06B,N/A,N/A,4.08B,39.44%,32.92%,News Corporation (NWS),1.07B,6.40%,N/A,-9.89%,14.80,509.37M,1.24M,199.63M,1.4,1.02%,0.21%
9.46B,1.48,2.92B,N/A,-4.20%,2.62%,5.46%,18B,2.41,18.52,1.1B,0.56,0.47,48.09B,107.04,-7.17B,1.4,1.67%,10.71B,0.16%,80.59%,"NextEra Energy, Inc. (NEE)",7.98B,28.59%,94.59%,16.22%,9.14,1.97B,23.56M,1.96B,2.63,1.20%,1.20%
954M,-0.42,-150M,N/A,-3.30%,2.47%,-5.99%,6.31B,3.99,5.69,2.25B,6.3,1.10,10.54B,474.77,621.12M,0.24,1.06%,3.68B,0.31%,111.46%,Nielsen Holdings plc (NLSN),1.13B,9.45%,N/A,-2.38%,17.70,320.89M,21.13M,357.68M,4.4,6.81%,5.91%
5.09B,1.77,2.83B,12.20%,8.90%,7.88%,28.27%,38.25B,1.06,6.76,11.81B,7.49,2.66,12.81B,120.35,5.07B,1.1,0.77%,16.24B,0.31%,83.93%,"NIKE, Inc. (NKE)",4.53B,10.12%,57.06%,7.39%,24.49,1.25B,12.69M,1.27B,2.57,1.31%,0.80%
1.8B,-0.78,-296.4M,N/A,-3.10%,3.17%,-4.28%,4.87B,2.95,11.86,58.6M,0.15,0.82,10.83B,199.71,-1.65B,0.88,3.87%,2.34B,0.36%,97.37%,NiSource Inc. (NI),1.21B,23.33%,N/A,-4.96%,12.75,381.62M,3.92M,383.21M,1.23,1.38%,1.02%
4.63B,7.84,2.01B,0.80%,-4.30%,5.73%,13.43%,9.79B,1.99,58.67,1.12B,4.43,1.07,13.65B,92.27,1.37B,3.96,1.59%,4.63B,0.12%,78.69%,Norfolk Southern Corporation (NSC),3.64B,35.53%,47.96%,20.56%,38.37,251.48M,2.16M,251.91M,1.87,0.86%,0.86%
N/A,5.46,1.14B,-35.10%,-1.60%,0.79%,10.62%,5.98B,2.24,51.87,3.77B,18.12,N/A,8.9B,N/A,N/A,2.8,2.89%,5.98B,0.37%,84.44%,Northern Trust Corporation (NTRS),N/A,27.24%,51.28%,20.24%,28.69,205.73M,2.87M,208.29M,3,1.50%,1.38%
5.5B,19.03,3.19B,N/A,17.10%,6.18%,32.88%,36.8B,1.53,63.46,4.91B,29.43,1.60,16.61B,157.00,723.5M,5.8,1.94%,7.48B,0.48%,83.66%,Northrop Grumman Corporation (NOC),4.3B,11.49%,29.80%,8.67%,220.22,166.04M,2.21M,166.72M,1.84,1.67%,1.33%
987M,N/A,637M,-93.70%,3.40%,4.90%,15.56%,2.49B,1.67,N/A,1.07B,1.84,1.01,3.7B,N/A,-1.52B,N/A,N/A,2.1B,0.94%,99.78%,NortonLifeLock Inc. (NLOK),-1.42B,39.19%,48.08%,23.71%,4.20,576.92M,19.64M,581.9M,3.52,4.70%,3.38%
-394.11M,-13.45,-3.15B,N/A,-99.70%,-4.12%,-60.85%,2.75B,N/A,14.83,2.36B,8.55,1.14,11.16B,272.95,-2.81B,N/A,N/A,2.8B,0.69%,46.28%,Norwegian Cruise Line Holdings Ltd. (NCLH),-1.54B,-39.93%,0.00%,-114.59%,11.74,274.3M,42.94M,315.64M,2.83,14.78%,13.61%
-182M,-6.62,-2.54B,N/A,-41.80%,-2.89%,-38.66%,6.09B,1.45,13.71,1.69B,4.39,2.79,2.56B,48.42,788.75M,N/A,N/A,434M,0.44%,100.53%,NOV Inc. (NOV),926M,-8.77%,N/A,-41.74%,15.86,355.64M,15.84M,388.26M,3.01,4.10%,4.08%
1.98B,16.38,4.14B,-33.10%,-6.20%,7.83%,"2,170.68%",9.26B,1.34,7.92,697M,2.85,1.55,6.16B,318.56,1.05B,1.3,3.03%,2.52B,0.87%,97.92%,"NRG Energy, Inc. (NRG)",1.9B,14.71%,5.85%,43.90%,37.49,242.37M,6.96M,244.22M,2.72,3.28%,2.85%
2.4B,2.36,721.47M,269.90%,2.50%,5.15%,7.59%,20.14B,2.91,35.55,3.05B,10.04,3.61,5.34B,47.55,510.33M,1.62,2.95%,2.23B,0.69%,78.57%,Nucor Corporation (NUE),2.7B,7.87%,68.33%,3.58%,66.43,301.55M,3.61M,301.93M,1.6,1.37%,1.20%
5.12B,6.12,3.83B,48.60%,56.80%,12.31%,28.82%,14.78B,0.39,24.77,10.14B,16.38,3.92,7.68B,50.09,3.23B,0.64,0.10%,6.77B,4.18%,68.43%,NVIDIA Corporation (NVDA),5.22B,28.44%,10.46%,25.89%,24.06,593.37M,6.65M,619M,0.87,1.12%,1.07%
1.14B,230.11,901.25M,19.10%,17.70%,14.57%,33.11%,7.56B,N/A,839.67,2.71B,734.59,5.91,1.59B,51.24,N/A,N/A,N/A,1.55B,5.40%,84.67%,"NVR, Inc. (NVR)",N/A,14.78%,0.00%,11.92%,"2,048.43",3.6M,44.61k,3.7M,1.52,1.51%,1.21%
2.73B,23.53,1.75B,20.90%,13.90%,13.55%,651.90%,11.6B,N/A,1.97,465.64M,6.55,0.86,6.16B,"4,395.25",1.83B,N/A,N/A,6.09B,1.67%,85.62%,"O'Reilly Automotive, Inc. (ORLY)",2.84B,20.85%,0.00%,15.10%,157.21,69.97M,1.12M,70.42M,1.77,1.58%,1.55%
7.86B,-17.28,-14.37B,N/A,-29.90%,-4.57%,-44.10%,19.76B,6.92,10.84,1.9B,2.04,1.02,41.61B,209.50,5.39B,0.04,0.16%,12.06B,0.23%,68.79%,Occidental Petroleum Corporation (OXY),4.56B,-38.80%,N/A,-75.20%,21.74,928.71M,28.7M,931.21M,1.31,3.42%,3.08%
1.17B,5.68,672.68M,31.80%,6.40%,13.55%,21.00%,4.02B,N/A,28.40,731.7M,6.25,3.33,99.93M,3.00,N/A,0.8,0.38%,1.46B,12.66%,73.73%,"Old Dominion Freight Line, Inc. (ODFL)",N/A,22.59%,10.62%,16.75%,34.10,102.24M,1.53M,117.33M,2.2,1.59%,1.31%
2.09B,4.43,962.3M,8.00%,-11.50%,4.91%,31.86%,13.56B,3.28,12.27,3.28B,15.25,0.98,6.93B,208.10,1.66B,2.6,3.94%,2.71B,0.83%,96.53%,Omnicom Group Inc. (OMC),1.43B,13.73%,58.82%,7.10%,62.68,213.45M,11.02M,214.97M,6.13,5.86%,5.13%
2.45B,1.46,623.93M,1.00%,-3.90%,5.37%,10.11%,8.64B,6.40,13.83,447.13M,1.01,1.57,14.62B,237.85,-2.13B,3.74,8.45%,3.38B,0.59%,66.42%,"ONEOK, Inc. (OKE)",1.72B,21.96%,253.06%,7.24%,20.40,441.47M,8.28M,444.4M,2.65,2.36%,1.86%
17.27B,3.31,10.38B,5.70%,1.90%,9.03%,83.71%,39.4B,1.56,2.68,38.61B,13.11,2.17,70.92B,823.11,11.15B,0.96,1.53%,31.13B,38.91%,49.83%,Oracle Corporation (ORCL),13.97B,38.22%,29.18%,26.34%,12.81,1.8B,24.45M,3.01B,2.77,1.36%,0.83%
2.06B,N/A,906M,15.10%,4.20%,11.43%,N/A,12.76B,N/A,N/A,1.78B,4.11,0.97,6.5B,N/A,1.26B,0.8,N/A,3.78B,0.01%,85.61%,Otis Worldwide Corporation (OTIS),1.48B,14.62%,28.85%,7.10%,29.45,433.41M,6.09M,433.67M,2.25,1.57%,1.40%
2.62B,3.74,1.3B,-23.60%,-9.00%,3.46%,12.91%,18.73B,1.61,30.05,4.83B,13.95,1.29,12.27B,117.80,10.15B,1.28,1.30%,2.3B,2.01%,64.98%,PACCAR Inc (PCAR),2.99B,8.37%,34.22%,6.93%,54.00,340.08M,4.21M,346.6M,2.03,1.24%,1.22%
1.21B,4.84,457.4M,-9.30%,-0.30%,N/A,14.69%,6.66B,2.83,34.04,1.05B,11.15,N/A,2.74B,85.33,N/A,4,3.05%,1.39B,1.42%,91.72%,Packaging Corporation of America (PKG),N/A,11.99%,69.63%,6.92%,70.75,92.73M,1.19M,94.83M,1.73,1.64%,1.26%
2.65B,11.02,1.43B,118.80%,-2.50%,6.33%,21.27%,13.51B,1.78,55.05,608.05M,4.71,1.50,7.21B,101.28,2.21B,3.52,1.29%,3.54B,0.38%,80.97%,Parker-Hannifin Corporation (PH),2.6B,15.33%,31.97%,10.60%,104.99,128.37M,777.74k,129.08M,0.9,0.61%,0.60%
1.61B,2.93,1.06B,5.30%,-0.70%,10.16%,38.80%,3.97B,3.04,8.01,868.4M,2.41,1.28,896.1M,31.01,1.12B,2.48,2.75%,2.76B,10.74%,72.65%,"Paychex, Inc. (PAYX)",1.31B,35.43%,84.64%,26.66%,11.07,321.72M,7.1M,360.63M,3.9,2.21%,1.97%
239.5M,2.46,143.45M,-46.30%,14.20%,4.57%,24.27%,841.43M,N/A,11.35,151.71M,2.63,1.09,50.16M,7.65,165.08M,N/A,N/A,743.66M,16.64%,76.32%,"Paycom Software, Inc. (PAYC)",227.21M,22.12%,0.00%,17.05%,14.60,48.11M,838.54k,57.63M,1.93,1.99%,1.46%
536.5M,2.14,357.1M,5.30%,5.40%,6.92%,17.59%,3.02B,2.11,12.67,82.1M,0.49,1.26,839.6M,39.86,435.54M,0.8,1.46%,1.06B,0.32%,90.68%,Pentair plc (PNR),573.6M,15.29%,35.68%,11.88%,18.12,165.59M,3.34M,166.35M,2.75,2.27%,2.01%
N/A,1.32,558.5M,51.20%,9.80%,0.94%,7.20%,1.91B,4.48,18.40,477.3M,1.14,N/A,2.16B,N/A,N/A,0.72,4.78%,1.91B,0.64%,75.77%,"People's United Financial, Inc. (PBCT)",N/A,40.52%,54.36%,29.94%,4.55,415.7M,14.49M,424.68M,2.69,4.51%,3.41%
4.3B,3.54,4.2B,209.10%,23.30%,3.52%,22.72%,21.45B,N/A,17.08,13.08B,11.17,1.33,9.72B,48.47,5.03B,N/A,N/A,10B,0.10%,85.54%,"PayPal Holdings, Inc. (PYPL)",5.85B,15.98%,0.00%,19.59%,18.29,1.17B,15.78M,1.17B,2.1,1.35%,1.35%
12.74B,2.57,7.12B,4.50%,8.80%,7.43%,50.49%,70.37B,2.85,9.75,9.55B,6.92,0.98,44.15B,325.78,4.93B,N/A,N/A,38.58B,0.14%,72.82%,"PepsiCo, Inc. (PEP)",10.61B,14.49%,78.32%,10.12%,25.41,1.38B,10.12M,1.38B,2.18,0.73%,0.73%
1.25B,6.49,728.1M,489.70%,68.20%,8.60%,22.23%,3.78B,0.37,33.19,402.04M,3.57,1.35,2.18B,58.33,697.01M,0.28,0.19%,2.12B,0.83%,94.04%,"PerkinElmer, Inc. (PKI)",892.18M,26.48%,4.31%,19.24%,33.75,102.2M,2.42M,111.97M,2.79,4.38%,2.16%
916M,-0.05,-6.6M,N/A,1.90%,2.89%,-0.11%,5.1B,1.17,42.64,852.7M,6.25,2.54,3.7B,63.54,232.56M,0.9,2.07%,1.77B,0.75%,85.61%,Perrigo Company plc (PRGO),615.3M,10.37%,N/A,-0.13%,37.41,136.15M,5.99M,136.49M,4.87,5.97%,4.39%
15.09B,1.71,6.98B,N/A,-7.90%,N/A,10.89%,41.91B,3.65,11.74,10.52B,1.89,N/A,63.15B,96.42,N/A,1.56,4.53%,33.33B,0.05%,69.90%,Pfizer Inc. (PFE),N/A,24.17%,122.58%,22.95%,7.54,5.55B,63.11M,5.56B,1.81,1.14%,1.14%
12.7B,5.16,8.04B,22.30%,-3.50%,16.71%,N/A,28.69B,5.01,-8.07,7.28B,4.67,1.10,32.24B,N/A,8.66B,4.8,5.62%,19.12B,0.19%,75.39%,Philip Morris International Inc. (PM),9.81B,40.85%,91.86%,28.08%,18.43,1.55B,9.39M,1.56B,2.05,0.60%,0.60%
-171M,-9.06,-3.98B,N/A,-43.70%,N/A,-15.01%,64.13B,3.58,45.15,1.46B,3.35,N/A,14.53B,65.12,N/A,3.6,4.69%,6.42B,0.34%,68.59%,Phillips 66 (PSX),2.11B,-2.44%,N/A,-6.20%,145.90,435.72M,12.16M,436.8M,3.84,2.79%,2.78%
1.5B,5.61,633.93M,10.90%,5.40%,2.68%,11.22%,3.52B,3.38,51.88,181.93M,1.62,1.17,6.82B,114.32,-345.36M,3.32,4.33%,1.49B,0.24%,85.97%,Pinnacle West Capital Corporation (PNW),893.98M,23.24%,55.79%,18.03%,31.23,112.29M,3.01M,112.6M,3.44,3.54%,2.68%
2.31B,1.04,173M,N/A,-23.00%,2.05%,1.48%,7.65B,0.53,70.89,1.39B,8.47,1.43,3.5B,30.03,71M,N/A,N/A,4.03B,0.81%,93.00%,Pioneer Natural Resources Company (PXD),2.37B,7.93%,202.91%,2.27%,46.44,162.85M,5.14M,216.21M,1.63,2.39%,2.38%
N/A,16.97,2.69B,5.50%,1.70%,0.69%,5.81%,13.73B,2.63,127.38,7.29B,17.19,N/A,37.2B,N/A,N/A,4.6,2.89%,13.73B,0.24%,82.99%,"The PNC Financial Services Group, Inc. (PNC)",N/A,24.98%,72.33%,54.76%,32.15,421.26M,5.23M,424M,2.47,1.24%,1.23%
451.56M,7.96,325.59M,49.80%,26.80%,17.20%,65.41%,3.68B,1.03,14.68,74.75M,1.86,2.21,536.76M,91.05,324.87M,2.32,0.70%,924.92M,3.18%,95.45%,Pool Corporation (POOL),444.44M,11.48%,28.39%,8.85%,91.82,38.86M,955.98k,40.16M,3.36,2.46%,2.38%
2.26B,4.45,1.06B,-6.80%,2.30%,N/A,19.78%,13.83B,1.62,22.48,2.1B,8.89,N/A,6.35B,117.02,N/A,2.16,1.56%,6.06B,0.43%,79.79%,"PPG Industries, Inc. (PPG)",N/A,12.61%,47.30%,7.65%,58.42,235.8M,3.64M,236.2M,2.3,1.54%,1.54%
4.43B,2.01,1.54B,-40.80%,-2.50%,4.19%,12.06%,7.63B,5.04,17.80,746M,0.97,0.50,24.24B,177.09,-524.88M,1.66,5.94%,4.36B,0.12%,70.66%,PPL Corporation (PPL),2.79B,40.60%,82.46%,20.22%,9.99,767.9M,11.26M,768.83M,2.8,1.47%,1.46%
1.71B,4.41,1.22B,-14.80%,-25.70%,0.34%,8.02%,15.02B,3.80,57.02,4.49B,16.36,2.74,4.42B,27.64,1.4B,2.24,4.13%,6.2B,0.25%,72.00%,"Principal Financial Group, Inc. (PFG)",4.14B,9.81%,N/A,8.15%,54.54,273.6M,2.61M,273.3M,1.93,1.09%,0.95%
20.8B,5.29,13.58B,3.70%,8.30%,9.62%,29.51%,73.97B,2.91,19.21,11.94B,4.85,0.78,31.1B,64.07,13.9B,3.16,2.46%,36.31B,0.11%,66.11%,The Procter & Gamble Company (PG),19.03B,24.13%,58.94%,18.72%,29.83,2.46B,14M,2.46B,1.84,0.57%,0.57%
7.72B,9.66,5.68B,57.30%,6.30%,7.76%,36.88%,42.64B,2.08,29.12,5.22B,8.92,0.42,5.4B,31.67,N/A,4.9,5.67%,8.67B,0.30%,84.29%,The Progressive Corporation (PGR),N/A,17.33%,50.72%,13.38%,72.90,582.92M,5.23M,585.3M,1.98,0.90%,0.89%
3.23B,2.01,1.47B,-27.20%,36.30%,2.21%,5.18%,4.74B,2.78,43.29,598.09M,0.81,0.69,17.34B,47.72,N/A,2.32,2.15%,3.57B,0.52%,97.82%,"Prologis, Inc. (PLD)",N/A,35.88%,101.79%,31.29%,6.50,736.31M,7.82M,739.5M,2.72,1.20%,1.06%
2.5B,-0.99,-374M,-27.40%,-24.80%,0.13%,-0.57%,49.34B,4.01,169.07,25.42B,63.73,1.05,35.34B,51.81,N/A,N/A,N/A,16.16B,0.20%,57.52%,"Prudential Financial, Inc. (PRU)",N/A,3.85%,N/A,-0.76%,124.65,397.82M,4.31M,396.4M,2.26,1.09%,1.09%
3.94B,3.77,1.91B,42.70%,3.00%,3.22%,12.43%,9.68B,3.46,31.42,966M,1.91,0.76,17.45B,110.17,-207.12M,1.96,3.35%,3.61B,0.06%,72.07%,Public Service Enterprise Group Incorporated (PEG),3.19B,25.62%,51.46%,19.74%,19.20,504.89M,4.71M,505.85M,2.08,0.93%,0.93%
2.03B,6.49,1.13B,-18.40%,0.50%,8.16%,15.93%,2.95B,3.57,27.47,293.96M,1.68,0.73,2.5B,29.57,1.43B,8,3.43%,2.12B,13.29%,82.26%,Public Storage (PSA),2.03B,50.42%,123.27%,47.18%,16.91,151.54M,2.88M,174.82M,2.97,2.20%,1.65%
1.84B,5.18,1.39B,30.50%,5.80%,9.68%,23.39%,11.04B,1.40,24.66,2.6B,9.77,5.99,3.34B,50.85,1.11B,0.56,1.13%,2.79B,3.36%,89.86%,"PulteGroup, Inc. (PHM)",1.78B,16.08%,9.65%,12.75%,41.10,259.03M,6.27M,268.09M,1.9,2.69%,2.36%
329.9M,-15.99,-1.15B,-66.60%,-18.10%,0.01%,-21.54%,7.64B,N/A,65.77,1.46B,20.53,1.54,5.41B,115.75,878.57M,N/A,N/A,5.4B,0.49%,100.77%,PVH Corp. (PVH),1.02B,0.04%,1.34%,-14.99%,106.68,70.9M,1.66M,71.1M,1.79,3.09%,2.34%
1.27B,4.16,485.26M,24.60%,26.00%,7.18%,10.98%,3.73B,N/A,39.75,1.23B,10.9,3.78,1.75B,38.83,884.61M,N/A,N/A,1.36B,0.43%,88.61%,"Qorvo, Inc. (QRVO)",1.11B,20.87%,0.00%,13.01%,32.54,112.57M,1.8M,113.26M,1.64,1.81%,1.59%
895.56M,2.70,393.69M,19.70%,-9.90%,4.34%,9.93%,11.4B,N/A,29.90,216.94M,1.56,1.69,1.48B,35.73,1.15B,0.24,0.31%,1.6B,1.13%,93.59%,"Quanta Services, Inc. (PWR)",1.47B,5.23%,7.41%,3.45%,79.92,137.2M,1.96M,138.86M,1.75,1.60%,1.41%
9.13B,5.85,6.73B,165.40%,62.20%,13.68%,113.14%,26.69B,3.41,6.50,12.3B,10.83,2.15,15.73B,213.16,5.04B,2.6,1.79%,14.28B,0.14%,77.64%,QUALCOMM Incorporated (QCOM),7.87B,28.94%,44.01%,25.21%,23.57,1.13B,13.73M,1.14B,1.97,1.21%,1.21%
2.47B,10.47,1.42B,128.90%,55.90%,9.81%,23.69%,9.44B,1.91,50.82,1.16B,8.71,1.72,4.66B,67.55,1.33B,N/A,N/A,3.72B,0.50%,91.04%,Quest Diagnostics Incorporated (DGX),2B,22.34%,21.11%,15.16%,70.43,132.28M,2.67M,133M,1.94,2.28%,2.01%
363.3M,-4.03,-296M,-64.10%,-18.20%,0.88%,-10.19%,4.39B,2.31,36.83,2.79B,38.12,2.55,3.71B,137.72,479.29M,N/A,N/A,3.81B,2.30%,102.85%,Ralph Lauren Corporation (RL),341.2M,2.49%,N/A,-6.75%,59.72,46.88M,2.27M,48.2M,2.08,5.37%,3.11%
N/A,6.16,861M,16.40%,10.50%,1.84%,12.02%,7.97B,1.42,53.60,15.4B,111.79,2.94,3.89B,52.24,N/A,1.56,1.38%,7.26B,10.88%,73.15%,"Raymond James Financial, Inc. (RJF)",5.41B,14.96%,24.31%,10.82%,58.07,122.35M,1.81M,137.71M,2.28,1.92%,1.32%
6.4B,N/A,-3.11B,-88.20%,-16.00%,0.93%,-4.95%,56.59B,2.57,N/A,8.8B,5.82,1.21,33.34B,45.12,5.48B,1.9,2.62%,8.53B,0.10%,77.09%,Raytheon Technologies Corporation (RTX),3.61B,3.96%,N/A,-6.22%,41.68,1.39B,15.5M,1.52B,2.03,1.09%,1.02%
1.48B,1.20,406.85M,-77.30%,8.10%,2.71%,4.12%,1.63B,4.23,29.86,724.75M,2.07,5.02,8.63B,82.16,877.88M,2.81,4.47%,1.4B,0.16%,75.60%,Realty Income Corporation (O),1.1B,49.07%,231.67%,24.94%,4.81,350.31M,9.37M,373.38M,2.69,3.28%,2.51%
626.49M,0.28,46.69M,-77.70%,-14.30%,1.80%,0.79%,1.06B,3.67,35.69,276.55M,1.63,2.57,4.22B,69.02,411.39M,2.38,4.64%,858.53M,1.09%,97.12%,Regency Centers Corporation (REG),526.5M,30.02%,520.27%,4.39%,6.30,167.34M,3.88M,169.68M,3.02,3.15%,2.29%
3.81B,30.52,3.51B,45.10%,30.00%,13.98%,31.77%,8.5B,N/A,106.05,3.59B,34.44,3.62,2.7B,24.45,1.14B,N/A,N/A,4.64B,2.90%,92.17%,"Regeneron Pharmaceuticals, Inc. (REGN)",2.62B,42.09%,0.00%,41.35%,78.97,99.47M,1.94M,104.86M,1.96,2.50%,1.81%
N/A,1.03,991M,58.40%,23.80%,0.80%,6.36%,4.95B,3.01,17.14,17.96B,18.7,N/A,3.57B,N/A,N/A,N/A,N/A,4.96B,0.42%,75.07%,Regions Financial Corporation (RF),N/A,28.17%,60.19%,22.08%,5.17,957.17M,22.72M,960.44M,2.73,2.71%,2.37%
2.92B,3.19,1.02B,-12.80%,-2.80%,4.98%,12.52%,10.16B,1.98,26.28,406.4M,1.27,0.81,9.14B,109.17,913.26M,1.7,1.86%,4.08B,0.15%,93.57%,"Republic Services, Inc. (RSG)",2.47B,17.81%,51.41%,10.05%,31.81,209.37M,2.24M,318.72M,2.18,1.07%,0.70%
1.01B,4.79,698.86M,11.80%,8.70%,12.55%,27.28%,3.09B,1.41,19.69,255.86M,1.76,2.51,965.81M,33.71,657.25M,1.56,0.78%,1.77B,0.81%,71.41%,ResMed Inc. (RMD),883.88M,28.98%,32.57%,22.60%,21.34,143.03M,1.09M,145.51M,2.35,0.85%,0.75%
409.48M,2.70,306.28M,-16.30%,-15.20%,N/A,26.20%,5.11B,2.03,10.62,587M,5.23,N/A,300M,25.12,N/A,1.36,1.86%,2.01B,2.97%,96.28%,Robert Half International Inc. (RHI),N/A,6.76%,50.37%,5.99%,45.32,108.78M,6.09M,113.98M,4.85,6.31%,5.35%
1.22B,11.18,1.3B,91.00%,-7.10%,8.61%,89.21%,6.21B,2.05,13.41,731.1M,6.29,1.34,2.49B,133.04,880.19M,N/A,N/A,2.6B,0.18%,80.06%,"Rockwell Automation, Inc. (ROK)",1.24B,16.95%,36.97%,21.03%,53.59,115.86M,2.08M,116.16M,2.65,2.00%,1.79%
455.99M,0.53,260.82M,23.40%,6.00%,12.82%,29.69%,2.16B,1.04,1.91,98.48M,0.2,0.67,417.14M,44.31,N/A,0.32,0.85%,1.11B,55.08%,40.80%,"Rollins, Inc. (ROL)",N/A,17.03%,45.28%,12.07%,4.40,242.97M,11.8M,491.62M,7.12,5.33%,2.40%
1.95B,8.98,949.7M,-70.60%,7.90%,4.25%,9.51%,5.53B,0.56,99.90,308.3M,2.94,0.72,9.57B,91.29,1.41B,2.25,0.56%,3.54B,1.55%,95.42%,"Roper Technologies, Inc. (ROP)",1.53B,25.89%,29.09%,17.18%,52.84,104.35M,1.4M,104.87M,2.63,1.57%,1.33%
739.03M,0.86,303.54M,-64.60%,-2.50%,2.13%,9.64%,12.7B,0.88,8.47,4.42B,12.39,1.65,5.77B,191.26,1.58B,N/A,N/A,5.32B,2.03%,87.29%,"Ross Stores, Inc. (ROST)",2.54B,2.95%,63.53%,2.39%,35.99,349M,4.7M,356.46M,2.7,1.34%,1.32%
-632.33M,-19.76,-4.16B,N/A,N/A,-3.88%,-39.56%,4.69B,2.55,38.79,3.02B,13.45,0.76,19.68B,236.31,-3.9B,N/A,N/A,5.1B,16.28%,61.42%,Royal Caribbean Group (RCL),-2.3B,-40.82%,N/A,-88.60%,22.29,204.49M,11.2M,237.38M,2.74,5.63%,4.72%
4.07B,9.66,2.34B,-16.10%,7.60%,20.24%,82.33%,7.44B,0.99,2.12,4.12B,17.1,1.67,4.75B,141.83,3B,3.08,0.91%,5.35B,0.13%,85.40%,S&P Global Inc. (SPGI),3.57B,51.96%,27.74%,31.43%,30.88,240.32M,7.83M,240.67M,3.95,3.26%,3.25%
2.02B,3.86,3.56B,N/A,20.10%,0.31%,9.67%,20.29B,N/A,44.10,9.49B,10.37,1.22,6.22B,15.44,5.99B,N/A,N/A,12.86B,3.62%,83.47%,"salesforce.com, inc. (CRM)",4.26B,1.31%,0.00%,17.53%,22.51,881.75M,23.22M,917.73M,3,2.93%,2.53%
1.38B,-0.13,-14.33M,4.10%,3.00%,4.51%,N/A,2.06B,N/A,-40.26,271.87M,2.45,0.83,13.03B,N/A,874.54M,1.86,0.70%,1.51B,1.14%,97.53%,SBA Communications Corporation (SBAC),1.15B,31.92%,N/A,-0.69%,18.41,109.81M,976.58k,111.04M,1.49,1.23%,0.88%
4.22B,-7.57,-10.52B,12.30%,-32.80%,2.10%,-57.20%,23.6B,4.26,8.67,3.01B,2.16,1.23,17.9B,143.30,2.6B,0.5,1.92%,2.6B,0.16%,76.16%,Schlumberger Limited (SLB),2.94B,7.02%,N/A,-44.57%,16.98,1.39B,20.88M,1.39B,1.47,1.50%,1.50%
1.7B,3.83,989M,-11.90%,-2.70%,9.16%,70.14%,10.17B,5.84,4.13,1.8B,7.62,1.56,5.24B,529.09,686.63M,2.68,3.70%,2.85B,0.56%,87.80%,Seagate Technology plc (STX),1.55B,12.91%,68.41%,9.72%,39.66,208.06M,18.89M,236.68M,3.71,10.76%,7.98%
973.1M,3.22,484.1M,36.30%,3.20%,8.43%,N/A,4.9B,1.52,1.11,548.7M,3.54,1.38,3.84B,"2,225.16",413.64M,0.64,1.47%,1.61B,0.73%,94.42%,Sealed Air Corporation (SEE),737M,16.30%,20.65%,10.26%,31.59,145.81M,2.26M,155.15M,2.05,1.67%,1.46%
4.35B,13.01,1.88B,-53.00%,-4.10%,2.58%,9.92%,11.14B,2.92,69.73,3.52B,12.21,0.84,25.91B,104.25,-1.3B,4.18,3.32%,4.2B,0.07%,87.85%,Sempra Energy (SRE),2.6B,24.39%,63.21%,35.48%,38.42,288.12M,2.55M,288.47M,1.27,1.00%,0.88%
